Time,Location,Magnitude,Depth,URL
2024-05-04 11:17:41.382,"53 km NNE of Port-Olry, Vanuatu",5.2,158.584,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mw9b
2024-05-04 06:47:38.829,"156 km WNW of Panguna, Papua New Guinea",5.1,150.623,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mw86
2024-05-04 01:49:05.731,South Sandwich Islands region,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mw61
2024-05-03 19:20:29.784,South Sandwich Islands region,5.1,122.674,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvz9
2024-05-03 18:16:23.573,"27 km SSW of Balangiga, Philippines",5.7,10.208,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvya
2024-05-03 11:03:29.140,"210 km WSW of Tofino, Canada",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvw9
2024-05-03 07:37:02.232,south of the Kermadec Islands,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvv8
2024-05-02 16:02:27.145,South Sandwich Islands region,5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvnj
2024-05-02 15:10:51.400,"104 km SSW of Nikolski, Alaska",5.4,18.33,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvmq
2024-05-02 15:06:25.519,"111 km SSW of Nikolski, Alaska",5.3,12.901,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvmm
2024-05-02 15:01:47.605,"110 km SSW of Nikolski, Alaska",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvms
2024-05-02 14:58:00.553,"96 km SSW of Nikolski, Alaska",5.5,13.892,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvmi
2024-05-02 14:36:34.184,South Sandwich Islands region,5.2,27.298,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvmb
2024-05-02 13:53:52.974,South Sandwich Islands region,5.0,34.778,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvm5
2024-05-02 10:16:10.215,"28 km WNW of Chinchaypujio, Peru",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvky
2024-05-02 07:45:25.544,"107 km ESE of Kimbe, Papua New Guinea",5.8,29.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvk5
2024-05-01 15:12:54.271,South Shetland Islands,5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvez
2024-05-01 09:24:50.530,"81 km WSW of Ollagüe, Chile",5.0,101.655,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvda
2024-05-01 01:51:10.531,"136 km NE of Crane, Barbados",5.1,9.635,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mva0
2024-04-30 22:30:39.343,South Sandwich Islands region,5.5,11.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mv76
2024-04-30 21:52:40.877,"151 km WNW of Tobelo, Indonesia",5.3,20.048,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mv6r
2024-04-30 19:24:58.141,south of the Fiji Islands,5.4,511.078,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mv68
2024-04-30 15:28:05.260,"103 km ESE of Pangai, Tonga",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mv4n
2024-04-30 07:42:14.279,"5 km WNW of Francisco Villa, Mexico",5.1,131.492,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mv2u
2024-04-29 21:33:38.920,Vanuatu region,5.2,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000muw0
2024-04-28 20:55:53.000,"156 km WSW of Houma, Tonga",5.2,172.014,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mumi
2024-04-28 08:37:18.319,"30 km ENE of Massawa, Eritrea",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000muif
2024-04-28 00:29:50.643,"91 km S of Banjar, Indonesia",6.1,59.701,https://earthquake.usgs.gov/earthquakes/eventpage/us6000muc0
2024-04-27 16:35:34.207,"Bonin Islands, Japan region",6.5,496.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu8k
2024-04-27 16:04:24.902,Mid-Indian Ridge,5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu8g
2024-04-27 09:44:21.447,Mid-Indian Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mw5b
2024-04-27 09:43:45.495,Mid-Indian Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu6f
2024-04-27 07:23:13.281,Mid-Indian Ridge,5.3,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu5j
2024-04-27 06:23:36.979,Mid-Indian Ridge,5.8,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu57
2024-04-27 02:49:29.534,"29 km NNE of Hualien City, Taiwan",5.2,40.475,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu45
2024-04-27 02:21:23.639,"20 km NNE of Hualien City, Taiwan",5.7,37.767,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu3y
2024-04-27 00:25:41.085,"91 km SE of Honiara, Solomon Islands",5.1,35.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu3d
2024-04-26 21:43:16.503,"184 km S of Nusa Dua, Indonesia",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mu0b
2024-04-26 10:56:31.420,South Sandwich Islands region,5.0,24.782,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtwd
2024-04-25 17:09:03.076,"141 km ESE of Saipan, Northern Mariana Islands",5.1,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtmz
2024-04-25 13:07:36.867,Kermadec Islands region,5.4,179.306,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtlr
2024-04-25 12:20:15.583,"62 km E of Kinablangan, Philippines",5.0,10.0,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mtlh
2024-04-25 02:12:16.908,"67 km E of Hualien City, Taiwan",5.3,27.095,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mvti
2024-04-25 02:11:56.126,"70 km E of Hualien City, Taiwan",5.1,35.376,https://earthquake.usgs.gov/earthquakes/eventpage/us6000mthz
